on x=-3..43,y=-22..22,z=-15..34
on x=-52752..-32887,y=-76293..-43540,z=20582..47775
on x=38804..57591,y=28533..48342,z=23227..52409
on x=-33372..-19183,y=60151..91114,z=-5895..13014
on x=8399..15500,y=-46061..-19393,z=-88136..-58963
on x=-70207..-50729,y=-27195..3250,z=49944..64484
on x=-83322..-60694,y=-4859..1403,z=-55073..-24265
on x=51507..67511,y=22011..37789,z=27870..58092
on x=2315..14851,y=70777..97981,z=-4391..22434
on x=63322..90550,y=13247..36385,z=-20220..2069
on x=-7013..25559,y=40439..56120,z=-72584..-61716
on x=-40699..-27549,y=4164..28551,z=53800..74409
on x=-51494..-24862,y=-80402..-64283,z=5411..14489
on x=-72139..-55806,y=7820..29650,z=25222..38356
on x=12742..29953,y=56665..75761,z=-11802..13027
on x=44039..72762,y=26530..56028,z=-42832..-10426
on x=-37796..-27142,y=-30810..-8406,z=-70974..-66926
on x=43717..56286,y=-26329..-1604,z=43116..72171
on x=19995..45643,y=-81477..-55528,z=-50320..-32192
on x=-49680..-28498,y=62214..65820,z=4605..27403
on x=59518..86037,y=25183..54580,z=-18246..17254
on x=-47268..-30247,y=57888..82990,z=-12900..3592
on x=-37656..-27114,y=-74361..-62506,z=-7732..28378
on x=5240..14690,y=72411..91552,z=-4756..19683
on x=-13372..17477,y=34586..56772,z=-82117..-63141
on x=-73452..-63296,y=-30094..-10448,z=22254..41160
on x=20735..26850,y=8049..29008,z=-87764..-67519
on x=-76309..-65638,y=1432..22127,z=24850..31614
on x=-56517..-42480,y=-29032..-8499,z=-76299..-46050
on x=-36653..-19363,y=11175..28415,z=66897..87189
on x=62824..67201,y=13766..38734,z=35946..42497
on x=-19952..-10429,y=74606..80317,z=-5904..9244
on x=63120..89695,y=-7158..10597,z=20219..31044
on x=-19027..-2451,y=60517..68949,z=33513..50296
on x=-26923..178,y=60741..97131,z=-20073..-10265
on x=-34849..-16047,y=-51895..-35335,z=-70945..-60177
on x=-41721..-28645,y=55366..79906,z=27747..32753
on x=-80144..-52339,y=-59029..-24157,z=-22364..-4544
on x=-4504..10906,y=32503..70662,z=46415..77796
on x=17183..29538,y=-18225..5416,z=66301..94405
on x=75285..86468,y=-9980..8717,z=20674..33762
on x=4311..28111,y=-83354..-62962,z=25674..42363
on x=-71564..-37032,y=-3279..4967,z=45245..76671
on x=-72811..-43922,y=36116..54013,z=-9748..23400
on x=-1220..17639,y=21306..41079,z=63317..81228
on x=37556..60204,y=-62343..-41856,z=10087..40031
on x=14130..31680,y=30041..49421,z=51511..76214
on x=-63039..-54227,y=-33537..-19281,z=34615..54260
on x=-91314..-63751,y=-3032..6841,z=-23321..2232
on x=-3127..19287,y=32794..47325,z=-76096..-49513
on x=-71132..-47802,y=4545..20375,z=48670..70063
on x=-61151..-40280,y=30652..36424,z=-62946..-37982
on x=14119..36433,y=-95152..-75989,z=6144..26828
on x=22834..51857,y=38327..58265,z=-65978..-49040
off x=66244..89751,y=-24261..7534,z=15888..42514
on x=-89728..-64157,y=-24044..4131,z=19969..28747
off x=-35080..-19430,y=56612..91727,z=8626..23420
off x=-47718..-31733,y=-43188..-28331,z=-67776..-45597
on x=-74294..-57200,y=-36792..-5040,z=-54121..-41055
off x=-24382..-20518,y=44282..50318,z=-68960..-42650
off x=-28521..-11994,y=-8661..4706,z=-88439..-56964
on x=52049..74171,y=-44537..-30138,z=-47237..-27418
on x=-1707..15178,y=34753..55182,z=-74195..-46652
off x=31059..42725,y=43145..70092,z=-38459..-30046
on x=40446..59879,y=-59586..-36260,z=-33512..-11076
off x=-79707..-50997,y=33225..51747,z=14860..47325
on x=-19465..-7616,y=10119..31262,z=-87813..-71548
on x=-83962..-64896,y=-20394..-7180,z=-61988..-32043
off x=57772..82725,y=-8053..15222,z=973..22968
off x=12596..37443,y=48270..79255,z=-49385..-33356
on x=-1003..8848,y=3538..36480,z=67569..78791
on x=-82583..-61600,y=-56407..-35035,z=-26389..-4025
off x=-441..23101,y=-65805..-48288,z=-52691..-32101
off x=60604..90029,y=-19348..-12737,z=-42042..-27174
off x=17436..39271,y=72348..90756,z=-25418..-8051
off x=26847..53845,y=46859..73289,z=23426..31266
off x=16841..27203,y=23421..55101,z=49100..83605
off x=25714..42561,y=-8143..13044,z=64035..91107
on x=29558..48710,y=-57841..-33714,z=33263..67264
off x=11715..35392,y=39866..51678,z=60099..69063
on x=23402..48483,y=37984..59658,z=48734..59709
on x=75216..93398,y=-37876..-11754,z=-1464..22273
off x=38528..43781,y=5542..42957,z=52809..77368
on x=72051..74887,y=-3880..3267,z=26293..34756
off x=-6816..4852,y=1566..29804,z=-80492..-65423
on x=49708..81155,y=32161..56409,z=-32648..-13317
on x=38909..68249,y=37014..67847,z=13517..42846
on x=-54894..-16193,y=-67206..-56964,z=-57382..-33779
on x=-81586..-61862,y=-24449..-420,z=-43066..-15910
on x=29328..40904,y=60475..81198,z=-31636..-14673
off x=-5756..14438,y=-80552..-71779,z=-14292..-6865
on x=-61722..-56718,y=23303..45126,z=-62045..-39044
off x=29463..53594,y=-69311..-47154,z=-65164..-43563
on x=-29305..-7147,y=-56581..-39066,z=-71283..-49802
off x=26856..50097,y=-61266..-31296,z=-66719..-39032
on x=46464..63140,y=-64133..-42261,z=-11759..5149
off x=-83817..-61709,y=-37291..-21874,z=-519..9751
off x=55841..74697,y=40336..59356,z=11147..34426
on x=34828..69659,y=-20348..-3038,z=-58724..-55121
off x=21197..38486,y=-72990..-45057,z=-53372..-35381
off x=-73182..-49019,y=28385..50982,z=-42019..-21521
off x=-76884..-61701,y=18507..39972,z=1310..29815
on x=55547..71247,y=4141..26473,z=-56178..-52622
on x=13772..43566,y=55179..85749,z=-13447..14016
on x=-55863..-32769,y=38694..59920,z=-33084..-7650
off x=-71553..-51565,y=-7760..1771,z=44677..67548
on x=15461..31815,y=-68075..-55208,z=33755..38037
off x=-757..36383,y=-21000..466,z=-82460..-62406
on x=31348..41123,y=-55197..-29777,z=42323..69200
off x=-5382..9760,y=-59558..-41324,z=-73937..-45324
on x=-6236..21866,y=-82614..-52320,z=33120..35911
off x=4099..31840,y=-71104..-64545,z=-49523..-23826
off x=29700..42212,y=48414..79717,z=13133..39395
on x=30163..49570,y=-32012..-6858,z=-82363..-58792
on x=-46359..-40371,y=-69671..-55358,z=6944..32266
off x=35348..60233,y=-59451..-46944,z=-50174..-21191
on x=-59278..-40919,y=48706..74528,z=-32748..-24764
on x=-57659..-37141,y=-74346..-56091,z=-17851..-3011
off x=-68343..-39351,y=-17836..3402,z=-70369..-50558
on x=-17324..10446,y=27985..43066,z=-84705..-64368
off x=-2280..7517,y=61082..89231,z=-19465..-2882
on x=5543..33886,y=77122..80758,z=-10232..26039
off x=19644..31561,y=42033..74969,z=45658..57072
on x=28283..49889,y=49674..76561,z=13613..37459
on x=45096..53724,y=18463..39530,z=38390..74144
off x=41400..61615,y=55595..76548,z=-25393..-1387
off x=16748..34122,y=29923..56425,z=-75021..-51740
on x=-15179..5656,y=-95572..-69068,z=11214..25476
off x=-58988..-47130,y=30229..46889,z=-44974..-35744
off x=-38977..-14492,y=-36334..-3133,z=-87758..-60247
off x=-67544..-49093,y=58841..65953,z=-34695..2783
on x=-44817..-12547,y=-69513..-42436,z=39463..67412
off x=-44782..-35211,y=63582..79211,z=-35165..-9576
off x=-51917..-19062,y=-70443..-39929,z=-56733..-29318
off x=-32721..-9720,y=-70269..-48267,z=39356..68334
on x=-89499..-64841,y=-7134..14311,z=10526..42888
off x=-15686..10883,y=-68334..-64832,z=40994..55889
off x=15665..28627,y=66455..83258,z=-19131..2585
on x=-36618..-12260,y=-1197..23827,z=-84792..-62643
on x=-63442..-42432,y=31128..47260,z=-58742..-50931
off x=59788..75917,y=-43859..-30744,z=-37530..-27877
on x=-97459..-75879,y=-2528..12488,z=-25702..8626
off x=4312..20664,y=43578..62639,z=45490..65994
off x=-42832..-21422,y=-36295..-10208,z=64453..78449
on x=45985..62219,y=41630..64002,z=-35004..-28441
off x=30577..58921,y=60165..62928,z=2996..24752
on x=-63410..-43768,y=18828..35057,z=-54580..-27363
on x=-37744..-7907,y=57733..80242,z=-9272..25957
off x=37094..69910,y=-11677..3264,z=57810..73004
off x=-58324..-35044,y=-65535..-55260,z=-14769..16228
on x=29859..52630,y=-10518..7762,z=-70264..-49235
on x=57003..84333,y=-43825..-36782,z=-2738..13139
on x=71783..92840,y=-12502..2933,z=-27092..1613
on x=40360..50398,y=-23637..-8074,z=-66669..-60640
on x=43892..72948,y=-1818..13786,z=-66670..-46862
off x=-77329..-51638,y=5621..37354,z=-38107..-25102
on x=-16374..13066,y=-43732..-18415,z=-82490..-64333
off x=-13344..-10566,y=-39722..-23766,z=-88355..-56712
on x=-1142..4694,y=56137..86923,z=-53607..-22509
off x=-57266..-32196,y=3936..11070,z=66725..88936
on x=46021..63903,y=35240..49664,z=15607..37579
on x=57444..70046,y=3467..37797,z=41207..53935
on x=-70116..-53894,y=34009..53610,z=5772..25407
on x=1370..17649,y=-45129..-26001,z=-71085..-60208
on x=27244..51676,y=16417..41941,z=50284..75127
off x=-7215..16100,y=13132..33300,z=52638..88374
on x=-67708..-56526,y=28446..49266,z=-54764..-36982
off x=36565..53117,y=-69659..-48686,z=-56660..-30523
on x=-34438..-14244,y=-45433..-35154,z=-66685..-45700
off x=-91754..-62736,y=6030..27794,z=-36516..-23095
on x=-20638..-13653,y=-9532..17224,z=63461..84278
on x=-59626..-50588,y=-32678..-6316,z=46959..59720
off x=-20225..749,y=-69753..-43037,z=-70716..-40645
off x=-56667..-40496,y=11366..43347,z=46773..65399
off x=-58207..-36567,y=42530..65883,z=-24484..-7023
off x=-34762..-20011,y=42739..59302,z=-49523..-35094
on x=-61220..-42210,y=-66752..-48262,z=8014..23734
off x=-49232..-41437,y=-63307..-37354,z=24865..47979
on x=26703..52532,y=-78499..-46465,z=-25018..-8738
off x=21105..43246,y=38644..70375,z=42805..60720
on x=-29375..-9597,y=-86639..-63948,z=-642..25463
on x=56583..64693,y=22117..52883,z=-40318..-24339
on x=-35643..-27958,y=47024..56238,z=36245..52842
off x=-33039..-14225,y=64997..87100,z=-41179..-4967
off x=59162..83173,y=25323..44364,z=2725..23248
off x=52877..68876,y=-45091..-16834,z=-42624..-16917
on x=38829..70185,y=8104..18659,z=45852..67774
off x=-27424..-2771,y=-93872..-68133,z=-3046..23499
off x=39387..48068,y=-14087..2670,z=-70270..-50908
off x=-67568..-31653,y=-63342..-45027,z=-44056..-28022
off x=73339..75776,y=19469..34170,z=9060..24104
on x=18259..51005,y=48630..76031,z=7479..26749
on x=14513..37579,y=-33597..-15184,z=63582..76318
on x=-41275..-31697,y=-24246..-37,z=57091..73485
off x=-31890..-16118,y=-76794..-49970,z=29480..57799
on x=71419..87971,y=15207..25964,z=-19283..7832
on x=-41791..-24849,y=59031..75550,z=-18258..9027
on x=-38199..-24871,y=42794..71254,z=-42870..-21798
on x=-25039..-8806,y=-76747..-56020,z=-57258..-29947
off x=-22405..10912,y=-55580..-41017,z=-75320..-53817
on x=-49793..-22756,y=-27786..-9284,z=58862..86007
off x=25510..36784,y=-35757..-20885,z=-75794..-46116
on x=-3712..14342,y=65221..88505,z=-9736..11415
off x=-17899..7630,y=-87586..-63559,z=-18626..2791
off x=-14610..11209,y=24694..36426,z=-89209..-72203
on x=-41903..-27211,y=-37226..-32667,z=-61406..-49458
on x=-29172..-15874,y=-29621..8729,z=-94236..-66936
off x=-7596..-2397,y=-24666..-3179,z=68145..98782
off x=-30179..-17490,y=-26796..7612,z=-78764..-61938
off x=-50707..-22641,y=-62067..-42787,z=-61450..-36116
on x=-2926..22736,y=-56652..-31989,z=54504..85199
on x=-12251..16818,y=-45483..-39539,z=-85412..-54335
off x=-30871..-10215,y=25326..41186,z=65924..74927
off x=-27548..-2218,y=-90837..-53885,z=24861..40128
off x=-15719..-8624,y=-24279..7866,z=-78569..-62304
on x=5300..29443,y=-60482..-32603,z=53463..77364
off x=-36883..-4698,y=-11779..15251,z=-85176..-63993
off x=77136..95419,y=-991..22518,z=-30101..-5527
off x=-77467..-49063,y=-3059..21180,z=-69555..-36161
off x=43217..54077,y=56300..68390,z=-17902..7166
off x=-27450..-5699,y=-85434..-62891,z=12577..21069
on x=-34456..-17300,y=-38896..-25828,z=-88087..-66157
off x=-6542..22866,y=48683..62179,z=51476..66042
off x=-85081..-63427,y=24901..39908,z=-22256..-2736
on x=-84263..-51335,y=-43993..-23210,z=-50786..-14571
off x=70496..91875,y=-99..13516,z=-15338..-1176
on x=-3414..20761,y=-58271..-50023,z=-70568..-58707
on x=-37366..-24760,y=-40714..-28220,z=-68669..-57693
on x=55366..69711,y=19336..39334,z=41575..56327
off x=7756..37863,y=6813..30407,z=-86788..-58086
on x=64340..71944,y=-58382..-21540,z=-26270..-7157
off x=-66006..-47470,y=-36577..-20368,z=19166..34254
on x=-58240..-46662,y=-3017..27043,z=55289..74468
off x=-39417..-32733,y=-29342..-7099,z=-79724..-67801
on x=-79339..-46658,y=-7270..19942,z=-50655..-39180
off x=-60143..-38745,y=-19956..11524,z=-84176..-55543
off x=-3874..10037,y=-64263..-39967,z=-74772..-50336
on x=-11752..2774,y=-57741..-44508,z=51849..72929
on x=-11710..-4855,y=-72067..-49425,z=-62392..-47771
off x=43931..74857,y=41059..57790,z=-36316..-17211
off x=3946..34651,y=-53908..-25012,z=52699..70802
off x=-46656..-15008,y=17844..47261,z=55932..84912
off x=26684..42064,y=56114..63695,z=14465..39503
on x=-40489..-22313,y=8243..32746,z=-74516..-48795
off x=-22851..-6555,y=-82055..-68517,z=-28862..-6378
off x=-74113..-54822,y=24351..54331,z=7776..25070
off x=-45651..-16942,y=18572..51284,z=62915..80308
on x=-70429..-46638,y=-63316..-43477,z=-9658..15603
on x=10379..47780,y=72033..88868,z=-19821..-11434
on x=-22601..1937,y=4579..19393,z=-80796..-60988
on x=54161..77065,y=-58754..-49409,z=338..31784
on x=28966..60740,y=50370..68031,z=8613..32275
